"12.03.20";"08:00";"12:30";"HFI3-8833 IT-Architekturen";"Zürich Altstetten IFA";"270"
"13.03.20";"08:00";"12:30";"HFWI6-3733 Software-Architekturen";"Bern IFA";"270"
"17.03.20";"17:00";"21:30";"HFWI6-8732 Software-Architekturen";"Zürich Altstetten IBZ";"270"
"17.03.20";"17:40";"21:05";"AKAD 2HFWI_ZH2_F19";"";"205"
"18.03.20";"08:00";"12:30";"HFWI6-9733 Software-Architekturen";"(J. Reinholdt)";"270"
"18.03.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"20.03.20";"08:00";"12:30";"HFWI6-3733 Software-Architekturen";"Bern IFA";"270"
"21.03.20";"13:05";"16:35";"AKAD 1HFWI_ZH1_H19";"";"210"
"24.03.20";"17:00";"21:30";"HFWI6-8732 Software-Architekturen";"Zürich Altstetten IBZ";"270"
"25.03.20";"08:00";"12:30";"HFWI6-9733 Software-Architekturen";"(J. Reinholdt)";"270"
"25.03.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"26.03.20";"19:00";"21:00";"StwE-Versammlung, Laubholzstrasse 58, Erlenbach";"Laubholzstrasse 58, Erlenbach";"120"
"27.03.20";"13:00";"17:30";"HFWI6-3733 Software-Architekturen";"Bern IFA";"270"
"01.04.20";"13:00";"17:30";"HFWI6-9733 Software-Architekturen";"(J. Reinholdt)";"270"
"01.04.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"06.04.20";"17:00";"21:30";"HFI2-8912 IT-Betrieb und Monitoring mit BASH-Scripting";"Zürich Altstetten IFA";"270"
"07.04.20";"17:00";"21:30";"HFWI6-8732 Software-Architekturen";"Zürich Altstetten IBZ";"270"
"08.04.20";"08:00";"12:30";"HFWI6-8733 Software-Architekturen";"Zürich Altstetten IFA";"270"
"08.04.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"15.04.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"21.04.20";"17:00";"21:30";"HFWI6-8732 Software-Architekturen";"Zürich Altstetten IBZ";"270"
"22.04.20";"08:00";"12:30";"HFWI6-9733 Software-Architekturen";"(J. Reinholdt)";"270"
"22.04.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"23.04.20";"08:00";"12:30";"HFI2-8913 IT-Betrieb und Monitoring mit BASH-Scripting";"Zürich Altstetten IFA";"270"
"24.04.20";"08:00";"12:30";"HFWI6-3733 Software-Architekturen";"Bern IFA";"270"
"27.04.20";"17:00";"21:30";"HFI2-8912 IT-Betrieb und Monitoring mit BASH-Scripting";"Zürich Altstetten IFA";"270"
"28.04.20";"17:45";"21:30";"HFI2-3912 IT-Betrieb und Monitoring mit BASH-Scripting";"Bern IFA";"225"
"29.04.20";"13:00";"17:30";"HFWI6-8733 Software-Architekturen";"Zürich Altstetten IFA";"270"
"29.04.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"04.05.20";"17:00";"21:30";"HFI2-8912 IT-Betrieb und Monitoring mit BASH-Scripting";"Zürich Altstetten IFA";"270"
"05.05.20";"17:00";"21:30";"HFI2-3912 IT-Betrieb und Monitoring mit BASH-Scripting";"Bern IFA";"270"
"06.05.20";"13:00";"17:30";"HFWI6-8733 Software-Architekturen";"Zürich Altstetten IFA";"270"
"06.05.20";"17:45";"21:30";"HFI2-8912 IT-Betrieb und Monitoring mit BASH-Scripting";"Zürich Altstetten IFA";"225"
"06.05.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"07.05.20";"08:00";"12:30";"HFI2-8913 IT-Betrieb und Monitoring mit BASH-Scripting";"Zürich Altstetten IFA";"270"
"11.05.20";"17:00";"21:30";"HFI2-8912 IT-Betrieb und Monitoring mit BASH-Scripting";"Zürich Altstetten IFA";"270"
"12.05.20";"17:00";"21:30";"HFI2-3912 IT-Betrieb und Monitoring mit BASH-Scripting";"Bern IFA";"270"
"13.05.20";"08:00";"12:30";"HFWI6-8733 Software-Architekturen";"Zürich Altstetten IFA";"270"
"13.05.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"14.05.20";"08:00";"12:30";"HFI2-8913 IT-Betrieb und Monitoring mit BASH-Scripting";"Zürich Altstetten IFA";"270"
"14.05.20";"17:45";"21:30";"HFI2-3912 IT-Betrieb und Monitoring mit BASH-Scripting";"Bern IFA";"225"
"15.05.20";"08:00";"12:30";"HFWI5-3813 Programmiersprachen und Datenbankabfragen";"Bern IFA";"270"
"19.05.20";"17:00";"21:30";"HFI2-3912 IT-Betrieb und Monitoring mit BASH-Scripting";"Bern IFA";"270"
"20.05.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"22.05.20";"08:00";"12:30";"HFWI5-3813 Programmiersprachen und Datenbankabfragen";"Bern IFA";"270"
"27.05.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"28.05.20";"08:00";"12:30";"HFI2-8913 IT-Betrieb und Monitoring mit BASH-Scripting";"Zürich Altstetten IFA";"270"
"29.05.20";"08:00";"12:30";"HFWI5-3813 Programmiersprachen und Datenbankabfragen";"Bern IFA";"270"
"03.06.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"04.06.20";"08:00";"12:30";"HFI2-8913 IT-Betrieb und Monitoring mit BASH-Scripting";"Zürich Altstetten IFA";"270"
"05.06.20";"08:00";"12:30";"HFWI5-3813 Programmiersprachen und Datenbankabfragen";"Bern IFA";"270"
"10.06.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"12.06.20";"08:00";"12:30";"HFWI5-3813 Programmiersprachen und Datenbankabfragen";"Bern IFA";"270"
"12.06.20";"13:00";"17:30";"HFWI4-3833 Software Engineering (UML)";"Bern IFA";"270"
"17.06.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"19.06.20";"08:00";"12:30";"HFWI5-3813 Programmiersprachen und Datenbankabfragen";"Bern IFA";"270"
"19.06.20";"13:00";"17:30";"HFWI4-3833 Software Engineering (UML)";"Bern IFA";"270"
"24.06.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"26.06.20";"08:45";"12:30";"HFWI5-3813 Programmiersprachen und Datenbankabfragen";"Bern IFA";"225"
"26.06.20";"13:00";"17:30";"HFWI4-3833 Software Engineering (UML)";"Bern IFA";"270"
"01.07.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"03.07.20";"13:00";"17:30";"HFWI4-3833 Software Engineering (UML)";"Bern IFA";"270"
"08.07.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"10.07.20";"08:00";"12:30";"HFWI4-3833 Software Engineering (UML)";"Bern IFA";"270"
"15.07.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"22.07.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"29.07.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"05.08.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"12.08.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"17.08.20";"17:00";"21:30";"HFI3-8912 IT-Architekturen";"Zürich Altstetten IFA";"270"
"19.08.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"21.08.20";"08:45";"12:30";"HFWI4-3833 Software Engineering (UML)";"Bern IFA";"225"
"24.08.20";"17:00";"21:30";"HFI3-8912 IT-Architekturen";"Zürich Altstetten IFA";"270"
"26.08.20";"08:00";"12:30";"HFI3-3913 IT-Architekturen";"Bern IFA";"270"
"26.08.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"28.08.20";"08:00";"12:30";"HFWI4-3833 Software Engineering (UML)";"Bern IFA";"270"
"31.08.20";"17:00";"21:30";"HFI3-8912 IT-Architekturen";"Zürich Altstetten IFA";"270"
"02.09.20";"08:00";"12:30";"HFI3-3913 IT-Architekturen";"Bern IFA";"270"
"02.09.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"07.09.20";"17:00";"21:30";"HFI3-8912 IT-Architekturen";"Zürich Altstetten IFA";"270"
"09.09.20";"08:00";"12:30";"HFI3-3913 IT-Architekturen";"Bern IFA";"270"
"09.09.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"10.09.20";"08:00";"12:30";"HFI3-8913 IT-Architekturen";"Zürich Altstetten IFA";"270"
"16.09.20";"08:00";"12:30";"HFI3-3913 IT-Architekturen";"Bern IFA";"270"
"16.09.20";"17:00";"21:30";"HFI3-8912 IT-Architekturen";"Zürich Altstetten IFA";"270"
"16.09.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"17.09.20";"08:00";"12:30";"HFI3-8913 IT-Architekturen";"Zürich Altstetten IFA";"270"
"23.09.20";"08:00";"12:30";"HFI3-3913 IT-Architekturen";"Bern IFA";"270"
"23.09.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"24.09.20";"08:00";"12:30";"HFI3-8913 IT-Architekturen";"Zürich Altstetten IFA";"270"
"30.09.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
